,event
2023-09-28 20:50:29.935387,False
2023-09-28 20:50:29.936387,False
2023-09-28 20:50:29.937379,False
2023-09-28 20:50:29.937893,True
2023-09-28 20:50:29.939442,False
2023-09-28 20:50:29.940543,False
2023-09-28 20:50:29.941583,True
2023-09-28 20:50:29.942578,True
2023-09-28 20:50:29.944569,True
2023-09-28 20:50:29.945527,True
2023-09-28 20:50:30.203974,True
2023-09-28 20:50:30.204968,True
2023-09-28 20:50:30.205964,True
2023-09-28 20:50:30.206960,True
2023-09-28 20:50:30.207955,True
2023-09-28 20:50:30.208951,True
2023-09-28 20:50:30.210390,True
2023-09-28 20:51:06.533197,True
2023-09-28 20:51:06.534180,True
2023-09-28 20:51:06.535174,True
2023-09-28 20:51:06.536171,True
2023-09-28 20:51:06.537165,True
2023-09-28 20:51:06.538225,True
2023-09-28 20:51:06.539214,True
2023-09-28 20:51:06.540254,True
2023-09-28 20:51:06.541249,True
2023-09-28 20:51:06.542247,True
2023-09-28 20:51:06.878090,False
2023-09-28 20:51:06.879158,True
2023-09-28 20:51:06.880306,True
2023-09-28 20:51:06.881336,True
2023-09-28 20:51:06.882333,True
