,event
2023-09-28 19:01:53.339929,lick
2023-09-28 19:01:53.345517,lick
2023-09-28 19:01:53.346524,lick
2023-09-28 19:01:53.347554,lick
2023-09-28 19:01:53.664001,lick
2023-09-28 19:01:53.664995,lick
2023-09-28 19:01:53.672129,lick
2023-09-28 19:01:53.673164,lick
2023-09-28 19:01:53.881783,lick
2023-09-28 19:01:53.888269,lick
2023-09-28 19:01:53.889781,lick
2023-09-28 19:02:05.768824,lick
2023-09-28 19:02:05.931588,lick
2023-09-28 19:02:05.932594,lick
2023-09-28 19:02:05.933630,lick
2023-09-28 19:02:08.274561,lick
2023-09-28 19:02:08.370271,lick
2023-09-28 19:02:08.371757,lick
2023-09-28 19:02:08.372752,lick
2023-09-28 19:02:24.976903,lick
2023-09-28 19:02:25.166905,lick
2023-09-28 19:02:25.167911,lick
2023-09-28 19:02:27.799329,lick
2023-09-28 19:02:27.799838,lick
2023-09-28 19:02:27.835715,lick
2023-09-28 19:02:35.437018,lick
2023-09-28 19:02:35.446416,lick
2023-09-28 19:02:35.447233,lick
2023-09-28 19:02:35.448305,lick
2023-09-28 19:02:35.449298,lick
2023-09-28 19:02:35.449810,lick
2023-09-28 19:02:38.466624,lick
2023-09-28 19:02:38.467565,lick
2023-09-28 19:02:38.472622,lick
2023-09-28 19:02:38.473275,lick
2023-09-28 19:02:38.474313,lick
2023-09-28 19:02:40.471451,lick
2023-09-28 19:02:40.487699,lick
2023-09-28 19:02:40.489251,lick
2023-09-28 19:02:45.008928,lick
2023-09-28 19:02:45.009925,lick
2023-09-28 19:02:45.010930,lick
2023-09-28 19:02:45.011926,lick
2023-09-28 19:02:45.012921,lick
2023-09-28 19:02:45.013917,lick
2023-09-28 19:02:45.014913,lick
2023-09-28 19:02:45.015908,lick
2023-09-28 19:02:45.016904,lick
2023-09-28 19:02:45.017899,lick
2023-09-28 19:02:45.018895,lick
2023-09-28 19:02:45.019410,lick
2023-09-28 19:02:45.020600,lick
2023-09-28 19:02:45.021606,lick
2023-09-28 19:02:45.022599,lick
2023-09-28 19:02:45.023595,lick
2023-09-28 19:02:45.024592,lick
2023-09-28 19:02:48.658616,lick
2023-09-28 19:02:48.668074,lick
2023-09-28 19:02:48.668602,lick
2023-09-28 19:02:48.669629,lick
2023-09-28 19:05:49.525071,lick
2023-09-28 19:05:53.773865,lick
2023-09-28 19:05:53.774506,lick
2023-09-28 19:05:55.953103,lick
2023-09-28 19:05:57.255013,lick
2023-09-28 19:05:59.904912,lick
2023-09-28 19:06:02.248022,lick
2023-09-28 19:06:02.249062,lick
2023-09-28 19:06:05.655161,lick
2023-09-28 19:06:05.656158,lick
2023-09-28 19:06:08.483548,lick
