,event
2023-09-28 22:27:43.043095,False
2023-09-28 22:27:43.044089,False
2023-09-28 22:27:43.045082,False
2023-09-28 22:27:43.046078,True
2023-09-28 22:27:43.047072,False
2023-09-28 22:27:43.048067,False
2023-09-28 22:27:43.049068,True
2023-09-28 22:27:43.050099,True
2023-09-28 22:27:43.051058,True
2023-09-28 22:27:43.052090,True
2023-09-28 22:27:43.267997,True
2023-09-28 22:27:43.269027,True
2023-09-28 22:27:43.270024,True
2023-09-28 22:27:43.271019,True
2023-09-28 22:27:43.272017,True
2023-09-28 22:27:43.272528,True
2023-09-28 22:27:43.274050,True
2023-09-28 22:27:43.275043,False
2023-09-28 22:27:43.276042,True
2023-09-28 22:27:43.277037,False
2023-09-28 22:27:43.277995,True
2023-09-28 22:27:43.279027,False
2023-09-28 22:27:43.280024,True
2023-09-28 22:27:43.281020,False
2023-09-28 22:27:43.282014,True
2023-09-28 22:27:43.282526,True
2023-09-28 22:27:43.283585,True
2023-09-28 22:27:43.284586,True
2023-09-28 22:27:43.285620,False
2023-09-28 22:27:43.286616,True
2023-09-28 22:27:43.287612,False
2023-09-28 22:27:49.738700,buff_size: 10000; 0; False
2023-09-28 22:27:49.739695,buff_size: 10000; 0; False
2023-09-28 22:27:49.740692,buff_size: 10000; 0; False
2023-09-28 22:27:49.741687,buff_size: 10000; 0; False
2023-09-28 22:27:49.742867,buff_size: 10000; 0; False
2023-09-28 22:27:49.743863,buff_size: 10000; 0; False
2023-09-28 22:27:49.744861,buff_size: 10000; 0; False
2023-09-28 22:27:49.745853,buff_size: 10000; 0; False
2023-09-28 22:27:49.746849,buff_size: 10000; 0; False
2023-09-28 22:27:49.747844,buff_size: 10000; 0; False
2023-09-28 22:27:49.894173,buff_size: 10000; 0; False
2023-09-28 22:27:49.895169,buff_size: 10000; 0; False
2023-09-28 22:27:49.896167,buff_size: 10000; 0; False
2023-09-28 22:27:49.897161,buff_size: 10000; 0; False
2023-09-28 22:27:49.898156,buff_size: 10000; 0; False
2023-09-28 22:27:49.899116,buff_size: 10000; 0; False
2023-09-28 22:27:49.900109,buff_size: 10000; 0; False
2023-09-28 22:27:49.901106,buff_size: 10000; 0; False
2023-09-28 22:27:49.902099,buff_size: 10000; 0; False
2023-09-28 22:27:49.903254,buff_size: 10000; 0; False
2023-09-28 22:27:57.463810,buff_size: 10000; 0; False
2023-09-28 22:27:57.464772,buff_size: 10000; 0; False
2023-09-28 22:27:57.465768,buff_size: 10000; 0; False
2023-09-28 22:27:57.466764,buff_size: 10000; 0; False
2023-09-28 22:27:57.467761,buff_size: 10000; 0; False
2023-09-28 22:27:57.468754,buff_size: 10000; 0; False
2023-09-28 22:27:57.469749,buff_size: 10000; 0; False
2023-09-28 22:27:57.470780,buff_size: 10000; 0; False
2023-09-28 22:27:57.471776,buff_size: 10000; 0; False
2023-09-28 22:27:57.472287,buff_size: 10000; 0; False
2023-09-28 22:27:57.473396,buff_size: 10000; 0; False
2023-09-28 22:27:57.474403,buff_size: 10000; 0; False
2023-09-28 22:27:57.475403,buff_size: 10000; 0; False
2023-09-28 22:27:57.476392,buff_size: 10000; 0; False
2023-09-28 22:27:57.477391,buff_size: 10000; 0; False
2023-09-28 22:27:57.478392,buff_size: 10000; 0; False
2023-09-28 22:27:57.479379,buff_size: 10000; 0; False
2023-09-28 22:27:57.702900,buff_size: 10000; 0; False
2023-09-28 22:27:57.703898,buff_size: 10000; 0; False
2023-09-28 22:27:57.704892,buff_size: 10000; 0; False
2023-09-28 22:27:57.705888,buff_size: 10000; 0; False
2023-09-28 22:27:57.706883,buff_size: 10000; 0; False
2023-09-28 22:27:57.707878,buff_size: 10000; 0; False
2023-09-28 22:27:57.708878,buff_size: 10000; 0; False
