,event
2023-09-28 18:52:12.387289,lick
2023-09-28 18:52:12.388330,lick
2023-09-28 18:52:12.392247,lick
2023-09-28 18:52:12.393670,lick
2023-09-28 18:52:12.622237,lick
2023-09-28 18:52:12.628780,lick
2023-09-28 18:52:12.629790,lick
2023-09-28 18:52:12.809691,lick
2023-09-28 18:52:12.810731,lick
2023-09-28 18:52:12.815041,lick
2023-09-28 18:52:12.816040,lick
2023-09-28 18:52:12.959808,lick
2023-09-28 18:52:12.964507,lick
2023-09-28 18:52:12.965508,lick
2023-09-28 18:52:13.229734,lick
2023-09-28 18:52:13.230737,lick
2023-09-28 18:52:13.379515,lick
2023-09-28 18:52:13.380558,lick
2023-09-28 18:52:18.993439,lick
2023-09-28 18:52:18.994510,lick
2023-09-28 18:52:19.013508,lick
2023-09-28 18:52:19.014508,lick
2023-09-28 18:52:19.015513,lick
2023-09-28 18:52:19.016505,lick
2023-09-28 18:52:32.990267,lick
2023-09-28 18:52:32.990933,lick
2023-09-28 18:52:33.028553,lick
2023-09-28 18:52:33.029549,lick
2023-09-28 18:52:37.462488,lick
2023-09-28 18:52:37.463496,lick
2023-09-28 18:52:37.480966,lick
